Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
0,1,2.750000e+09,-4.056080e+09,-3.004640e+09
0,1,2.760000e+09,-4.054820e+09,-3.000640e+09
0,1,2.770000e+09,-4.053530e+09,-2.996870e+09
0,1,2.780000e+09,-4.052340e+09,-2.992930e+09
0,1,2.790000e+09,-4.051090e+09,-2.989220e+09
0,1,2.800000e+09,-4.049780e+09,-2.985460e+09
0,1,2.810000e+09,-4.048560e+09,-2.981530e+09
0,1,2.820000e+09,-4.047290e+09,-2.977680e+09
0,1,2.830000e+09,-4.046070e+09,-2.973690e+09
0,1,2.840000e+09,-4.044840e+09,-2.969900e+09
0,1,2.850000e+09,-4.043610e+09,-2.966300e+09
0,1,2.860000e+09,-4.042330e+09,-2.962520e+09
0,1,2.870000e+09,-4.041050e+09,-2.958830e+09
0,1,2.880000e+09,-4.039800e+09,-2.954980e+09
0,1,2.890000e+09,-4.038620e+09,-2.951010e+09
0,1,2.900000e+09,-4.037360e+09,-2.947330e+09
0,1,2.910000e+09,-4.036140e+09,-2.943920e+09
0,1,2.920000e+09,-4.034850e+09,-2.940460e+09
0,1,2.930000e+09,-4.033620e+09,-2.936870e+09
0,1,2.940000e+09,-4.032320e+09,-2.933170e+09
0,1,2.950000e+09,-4.031090e+09,-2.929350e+09
0,1,2.960000e+09,-4.029870e+09,-2.925630e+09
0,1,2.970000e+09,-4.028640e+09,-2.922130e+09
0,1,2.980000e+09,-4.027340e+09,-2.918590e+09
0,1,2.990000e+09,-4.026090e+09,-2.914910e+09
0,1,3.000000e+09,-4.024840e+09,-2.911220e+09
0,1,3.010000e+09,-4.023620e+09,-2.907650e+09
0,1,3.020000e+09,-4.022340e+09,-2.904380e+09
0,1,3.030000e+09,-4.021120e+09,-2.900780e+09
0,1,3.040000e+09,-4.019940e+09,-2.897180e+09
0,1,3.050000e+09,-4.018720e+09,-2.893730e+09
0,1,3.060000e+09,-4.017480e+09,-2.890240e+09
0,1,3.070000e+09,-4.016280e+09,-2.886620e+09
0,1,3.080000e+09,-4.015080e+09,-2.883240e+09
0,1,3.090000e+09,-4.013920e+09,-2.879790e+09
0,1,3.100000e+09,-4.012600e+09,-2.876340e+09
0,1,3.110000e+09,-4.011380e+09,-2.873140e+09
0,1,3.120000e+09,-4.010050e+09,-2.869800e+09
0,1,3.130000e+09,-4.008840e+09,-2.866490e+09
0,1,3.140000e+09,-4.007600e+09,-2.863070e+09
0,1,3.150000e+09,-4.006380e+09,-2.859810e+09
